15:25:31.807838 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 523416:523612, ack 253, win 501, length 196
15:25:32.082851 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 992080:992276, ack 541, win 501, length 196
15:25:32.082897 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 992276:992472, ack 541, win 501, length 196
15:25:32.082945 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 992472:992668, ack 541, win 501, length 196
15:25:32.082992 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 992668:992864, ack 541, win 501, length 196
15:25:32.083041 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 992864:993060, ack 541, win 501, length 196
15:25:32.083086 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 993060:993256, ack 541, win 501, length 196
15:25:32.083134 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 993256:993452, ack 541, win 501, length 196
15:25:32.083181 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 993452:993648, ack 541, win 501, length 196
15:25:32.083229 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 993648:993844, ack 541, win 501, length 196
15:25:32.083275 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 993844:994040, ack 541, win 501, length 196
15:25:32.083302 IP cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054 > Comp3134.ssh: Flags [.], ack 956164, win 16504, length 0
15:25:32.083316 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [.], ack 541, win 501, length 0
15:25:32.083323 IP cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054 > Comp3134.ssh: Flags [.], ack 967284, win 16504, length 0
15:25:32.083414 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 994040:994652, ack 541, win 501, length 612
15:25:32.083465 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 994652:994848, ack 541, win 501, length 196
15:25:32.083512 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 994848:995044, ack 541, win 501, length 196
15:25:32.083560 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 995044:995240, ack 541, win 501, length 196
15:25:32.083607 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 995240:995436, ack 541, win 501, length 196
15:25:32.083656 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 995436:995632, ack 541, win 501, length 196
15:25:32.083704 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 995632:995828, ack 541, win 501, length 196
15:25:32.083751 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 995828:996024, ack 541, win 501, length 196
15:25:32.083800 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 996024:996220, ack 541, win 501, length 196
15:25:32.083849 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 996220:996416, ack 541, win 501, length 196
15:25:32.083897 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 996416:996612, ack 541, win 501, length 196
15:25:32.083950 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 996612:996808, ack 541, win 501, length 196
15:25:32.084000 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 996808:997004, ack 541, win 501, length 196
15:25:32.084061 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 997004:997200, ack 541, win 501, length 196
15:25:32.084109 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 997200:997396, ack 541, win 501, length 196
15:25:32.084157 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 997396:997592, ack 541, win 501, length 196
15:25:32.084205 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 997592:997788, ack 541, win 501, length 196
15:25:32.084250 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 997788:997984, ack 541, win 501, length 196
15:25:32.084296 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 997984:998180, ack 541, win 501, length 196
15:25:32.084347 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 998180:998376, ack 541, win 501, length 196
15:25:32.084392 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 998376:998572, ack 541, win 501, length 196
15:25:32.084442 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 998572:998768, ack 541, win 501, length 196
15:25:32.084494 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 998768:998964, ack 541, win 501, length 196
15:25:32.084541 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 998964:999160, ack 541, win 501, length 196
15:25:32.084592 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 999160:999356, ack 541, win 501, length 196
15:25:32.084651 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 999356:999552, ack 541, win 501, length 196
15:25:32.084701 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 999552:999748, ack 541, win 501, length 196
15:25:32.084758 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 999748:999944, ack 541, win 501, length 196
15:25:32.084812 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 999944:1000140, ack 541, win 501, length 196
15:25:32.084868 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1000140:1000336, ack 541, win 501, length 196
15:25:32.084926 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1000336:1000532, ack 541, win 501, length 196
15:25:32.084979 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1000532:1000728, ack 541, win 501, length 196
15:25:32.085034 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1000728:1000924, ack 541, win 501, length 196
15:25:32.085091 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1000924:1001120, ack 541, win 501, length 196
15:25:32.085146 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1001120:1001316, ack 541, win 501, length 196
15:25:32.085198 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1001316:1001512, ack 541, win 501, length 196
15:25:32.085251 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1001512:1001708, ack 541, win 501, length 196
15:25:32.085301 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1001708:1001904, ack 541, win 501, length 196
15:25:32.085362 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1001904:1002100, ack 541, win 501, length 196
15:25:32.085419 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1002100:1002296, ack 541, win 501, length 196
15:25:32.085475 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1002296:1002492, ack 541, win 501, length 196
15:25:32.085527 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1002492:1002688, ack 541, win 501, length 196
15:25:32.085584 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1002688:1002884, ack 541, win 501, length 196
15:25:32.085654 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1002884:1003080, ack 541, win 501, length 196
15:25:32.085712 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1003080:1003276, ack 541, win 501, length 196
15:25:32.085779 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1003276:1003472, ack 541, win 501, length 196
15:25:32.085837 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1003472:1003668, ack 541, win 501, length 196
15:25:32.085892 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1003668:1003864, ack 541, win 501, length 196
15:25:32.085947 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1003864:1004060, ack 541, win 501, length 196
15:25:32.086000 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1004060:1004256, ack 541, win 501, length 196
15:25:32.086058 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1004256:1004452, ack 541, win 501, length 196
15:25:32.086112 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1004452:1004648, ack 541, win 501, length 196
15:25:32.086167 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1004648:1004844, ack 541, win 501, length 196
15:25:32.086219 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1004844:1005040, ack 541, win 501, length 196
15:25:32.086283 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1005040:1005236, ack 541, win 501, length 196
15:25:32.086340 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1005236:1005432, ack 541, win 501, length 196
15:25:32.086401 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1005432:1005628, ack 541, win 501, length 196
15:25:32.086456 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1005628:1005824, ack 541, win 501, length 196
15:25:32.086511 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1005824:1006020, ack 541, win 501, length 196
15:25:32.086583 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1006020:1006216, ack 541, win 501, length 196
15:25:32.086670 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1006216:1006412, ack 541, win 501, length 196
15:25:32.086770 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1006412:1006608, ack 541, win 501, length 196
15:25:32.086827 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1006608:1006804, ack 541, win 501, length 196
15:25:32.086883 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1006804:1007000, ack 541, win 501, length 196
15:25:32.086935 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1007000:1007196, ack 541, win 501, length 196
15:25:32.086987 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1007196:1007392, ack 541, win 501, length 196
15:25:32.087034 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1007392:1007588, ack 541, win 501, length 196
15:25:32.087084 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1007588:1007784, ack 541, win 501, length 196
15:25:32.087130 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1007784:1007980, ack 541, win 501, length 196
15:25:32.087179 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1007980:1008176, ack 541, win 501, length 196
15:25:32.087229 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1008176:1008372, ack 541, win 501, length 196
15:25:32.087277 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1008372:1008568, ack 541, win 501, length 196
15:25:32.087325 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1008568:1008764, ack 541, win 501, length 196
15:25:32.087382 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1008764:1008960, ack 541, win 501, length 196
15:25:32.087429 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1008960:1009156, ack 541, win 501, length 196
15:25:32.087476 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1009156:1009352, ack 541, win 501, length 196
15:25:32.087522 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1009352:1009548, ack 541, win 501, length 196
15:25:32.087572 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1009548:1009744, ack 541, win 501, length 196
15:25:32.087624 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1009744:1009940, ack 541, win 501, length 196
15:25:32.087671 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1009940:1010136, ack 541, win 501, length 196
15:25:32.087722 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1010136:1010332, ack 541, win 501, length 196
15:25:32.087766 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1010332:1010528, ack 541, win 501, length 196
15:25:32.087818 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1010528:1010724, ack 541, win 501, length 196
15:25:32.087874 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1010724:1010920, ack 541, win 501, length 196
15:25:32.087926 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1010920:1011116, ack 541, win 501, length 196
15:25:32.087976 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1011116:1011312, ack 541, win 501, length 196
15:25:32.088025 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1011312:1011508, ack 541, win 501, length 196
15:25:32.088071 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1011508:1011704, ack 541, win 501, length 196
15:25:32.088132 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1011704:1011900, ack 541, win 501, length 196
15:25:32.088233 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1011900:1012096, ack 541, win 501, length 196
15:25:32.088328 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1012096:1012292, ack 541, win 501, length 196
15:25:32.088381 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1012292:1012488, ack 541, win 501, length 196
15:25:32.088427 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1012488:1012684, ack 541, win 501, length 196
15:25:32.088473 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1012684:1012880, ack 541, win 501, length 196
15:25:32.088523 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1012880:1013076, ack 541, win 501, length 196
15:25:32.088574 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1013076:1013272, ack 541, win 501, length 196
15:25:32.088640 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1013272:1013468, ack 541, win 501, length 196
15:25:32.088688 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1013468:1013664, ack 541, win 501, length 196
15:25:32.088737 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1013664:1013860, ack 541, win 501, length 196
15:25:32.088785 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1013860:1014056, ack 541, win 501, length 196
15:25:32.088834 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1014056:1014252, ack 541, win 501, length 196
15:25:32.088879 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1014252:1014448, ack 541, win 501, length 196
15:25:32.088934 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1014448:1014644, ack 541, win 501, length 196
15:25:32.088981 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1014644:1014840, ack 541, win 501, length 196
15:25:32.089028 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1014840:1015036, ack 541, win 501, length 196
15:25:32.089076 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1015036:1015232, ack 541, win 501, length 196
15:25:32.089123 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1015232:1015428, ack 541, win 501, length 196
15:25:32.089173 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1015428:1015624, ack 541, win 501, length 196
15:25:32.089227 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1015624:1015820, ack 541, win 501, length 196
15:25:32.089274 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1015820:1016016, ack 541, win 501, length 196
15:25:32.089333 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1016016:1016212, ack 541, win 501, length 196
15:25:32.089388 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1016212:1016408, ack 541, win 501, length 196
15:25:32.089445 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1016408:1016604, ack 541, win 501, length 196
15:25:32.089497 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1016604:1016800, ack 541, win 501, length 196
15:25:32.089551 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1016800:1016996, ack 541, win 501, length 196
15:25:32.089609 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1016996:1017192, ack 541, win 501, length 196
15:25:32.089672 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1017192:1017388, ack 541, win 501, length 196
15:25:32.089730 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1017388:1017584, ack 541, win 501, length 196
15:25:32.089805 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1017584:1017780, ack 541, win 501, length 196
15:25:32.089861 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1017780:1017976, ack 541, win 501, length 196
15:25:32.089923 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1017976:1018172, ack 541, win 501, length 196
15:25:32.089982 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1018172:1018368, ack 541, win 501, length 196
15:25:32.090034 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1018368:1018564, ack 541, win 501, length 196
15:25:32.090092 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1018564:1018760, ack 541, win 501, length 196
15:25:32.090144 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1018760:1018956, ack 541, win 501, length 196
15:25:32.090197 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1018956:1019152, ack 541, win 501, length 196
15:25:32.090256 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1019152:1019348, ack 541, win 501, length 196
15:25:32.090328 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1019348:1019544, ack 541, win 501, length 196
15:25:32.090384 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1019544:1019740, ack 541, win 501, length 196
15:25:32.090468 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1019740:1019936, ack 541, win 501, length 196
15:25:32.090557 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1019936:1020132, ack 541, win 501, length 196
15:25:32.090606 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1020132:1020328, ack 541, win 501, length 196
15:25:32.090659 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1020328:1020524, ack 541, win 501, length 196
15:25:32.090709 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1020524:1020720, ack 541, win 501, length 196
15:25:32.090772 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1020720:1020916, ack 541, win 501, length 196
15:25:32.090832 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1020916:1021112, ack 541, win 501, length 196
15:25:32.090878 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 1021112:1021308, ack 541, win 501, length 196
